Meridian,Point Code,Point Name (pinyin),Chinese Name (hanzi),Location Description,Indications,Category,Element,Sex-specific Notes,Source
GV,GV20,"On the head, 5 B-cun superior to the anterior hairline on the anterior",,"median line. (Fig 15, 16) III. Principles and methods for locating acupuncture points on the surface of the body 1. Principles for locating acupuncture points on the surface of the body: to locate an acupuncture point, a combined approach using literature analysis, clinical practice and actual and proportional measurement is used. In selecting literature for analysis, special importance is attached to ancient and modern literature about acupuncture point locations that has a ‘national standard’  nature, such as Huangdi Mingtang Jing, Zhenjiu Jiayi Jing, Beiji Qianjin Fang and Tongren Shuxue Zhenjiu Tujing. When descriptions of acupuncture point locations in ancient literature are not clear, the following four principles are used to determine the proper location: • Priority is given to the anatomical landmark method when it does not conform to finger -cun measurement. • f ull consideration should be given to all relevant information in the original literature about the acupuncture point and its location area, sequence and name. • When determining the location of an acupuncture point, it is important to check its location in relation to the location of other relevant points. • r elevant acupuncture point charts or models in the original literature should be referred to in order to better understand the location of the acupuncture point. 2.   Methods for locating acupuncture points on the surface of the body: Three methods are used for locating acupuncture points: • The anatomical landmark method; • The proportional bone (skeletal) measurement method; and • The finger -cun measurement method In practice, it is often neccessary to combine all three methods when locating an acupuncture point. The methods primarily used are the anatomical landmark and proportional bone (skeletal)  measurement. The finger-cun measurement can be used when it is difficult to locate the acupuncture point with the above two methods. The anatomical landmark method:This method utilizes anatomical landmarks on the surface of the body to locate acupuncture points. Anatomical landmarks may be classified into two types: fixed WHO S tandard  a CUPU n C t U r E POI nt LOC at IO n S 11 landmarks and movable landmarks. Fixed landmarks refer to protuberances or depressions formed by the joints and muscles; contours of the eyes, ears, nose and mouth; fingernails and toenails; the nipples; the navel and so on. For example, the location of GB34 is described as “anterior and distal to the head of the fibula”. Movable landmarks refer to the gaps, depressions, wrinkles and peaks which appear along with the movement of joints, muscles, tendons and skin. For example, SI19 is located in the depression formed just anterior to the centre of the tragus when the mouth is opened slightly. Locations of commonly used anatomical landmarks on the surface of the body for locating acupuncture points include: a) The 2nd rib: the rib at the same level as the sternal angle; it can be palpated inferior to the clavicle. (Fig 17) b) The 4th intercostal space: at the same level as the nipples in males. (Fig 17) c) The spinous process of the 7th cervical vertebra: the most prominent spinous process on the posterior median line of the neck, which moves with the turning of the head. (Fig 18) d) The spinous process of the 3rd thoracic vertebra: the intersection of the posterior median line and the line connecting the medial ends of the two spines of the scapulae, when the subject stands upright with arms by the sides. (Fig 18) e) The spinous process of the 7th thoracic vertebra: the intersection of the posterior median line and the line connecting the two inferior angles of the scapulae when the subject stands upright with arms by the sides. (Fig 18) f) The spinous process of the 12th thoracic vertebra: on the posterior midline, at the same level as the midpoint of the line connecting the inferior angle of the scapula with the highest point of the iliac crest when the subject stand upright with arms by the sides. (Fig 18) g) The spinous process of the 4th lumbar vertebra: the intersection of the posterior median line and the line connecting the highest points of the two iliac crests. The spinous process of the 2nd sacral vertebra: the intersection of the line connecting the inferior borders of the two posterior superior iliac spines and the posterior median line. (Fig 18) i) The sacral hiatus: at the same level as the two sacral cornu superior to the coccyx, on the posterior median line. (Fig 18) The proportional bone (skeletal) measurement method: The proportional bone (skeletal) measurement method is also used to locate acupuncture points on the body . This method uses landmarks on the body surface, general guidelines for acupuncture Point Locations 12 primarily joints, to measure the length and width of various parts of the body. acupuncture point location is based on the measurements of various parts of the body from the book Lingshu chapter on Gudu, combined with the proportional measurements created by later scholars. (the method is to divide the length between two points of particular joints into equal portions. Each portion is equivalent to one cun, and ten portions equal one chi). The primary proportional bone (skeletal) measurements of the whole body can be seen in the following table. Proportional Bone (Skeletal) Measurements (Figures 19, 20 and 21) Head and face Source from the midpoint of the anterior hairline to the mid-point of the posterior hairline ：12 B-cun Lingshu from the glabella to the midpoint of the anterior hairline：3 B-cun Shenghui Fang Between the bilateral corners of the anterior hairline on the forehead ：9 B-cun Zhenjiu Jiayi Jing Between the bilateral mastoid processes ：9 B-cun Lingshu Chest, abdomen and hypochondrium from the suprasternal notch to the midpoint of the xiphisternal junction ：9 B-cun Lingshu from the midpoint of the xiphisternal synchondrosis to the centre of the umbilicus ：8 B-cun Lingshu from the centre of the umbilicus to the superior bor-der of the pubic symphysis ：5 B-cun Zhenjiu Jiayi Jing Between the two nipples ：8 B-cun Zhenjiu Jiayi Jing Back and lumbar region Between the bilateral medial borders of the scapula: 6 B-cunZhenjiu Jiayi Jing Upper limbs from the anterior or posterior axillary fold to the   cubital crease ：9 B-cun Zhenjiu Jiayi Jing & Xunjing Kaoxue Bian from the cubital crease to the wrist crease ：12 B-cun   Lingshu WHO Standard aCUPUnCtUrE POInt LOCat IOnS 13 Lower limbs from the superior border of the pubic symphysis to the base of the patella ：18 B-cun Lingshu from the apex of the patella (the centre of the popliteal fossa) to the prominence of the medial malleolus ：15 B-cun from the lateral prominence of the greater trochanter to the popliteal crease: 19 B-cun Lingshu from the gluteal fold to the popliteal crease ：14 B- cun   Tongren Shuxue Zhenjiu Tujing from the popliteal crease to the prominence of the lateral malleolus ：16 B-cunLingshu from the prominence of medial malleolus to the sole：3 B-cun Lingshu The finger-cun measurement method: The finger-cun measurement method refers to the proportional measurement method for locating acupuncture points based on the size of the fingers of the person to be mearsured. this method is mainly used on the lower limbs. When locating an acupuncture point, the practitioner, in addition to using the proportional bone (skeletal) measurement method, may use the finger-cun measurement of the patient being measured in order to verify the standard location of the acupuncture point. Middle-finger cun: The distance between the ends of the two radial creases of the interphalangeal joints of the middle finger is taken as 1 F-cun when the thumb and the middle finger are flexed to form a circle. (Fig 22) Thumb measurement: the width of the interphalangeal joint of the thumb is taken as 1 F-cun. (Fig 23) Finger width measurement: when the index, middle, ring and little fingers of the subject are extended and closed together, the width of the four fingers on the dorsal general guidelines for a cupuncture Point Locations 14 crease of the proximal interphalangeal joint of the middle finger is taken as 3 F-cun. IV . d escription of acupuncture point locations In acupuncture point location, a vertical and horizontal coordinate method is adopted as much as possible. Using two intersecting lines to make a crossing point, first, the distance on the y-coordinate (Y axis) is determined to draw the horizontal line on the body, then the distance on the x-coordinate (X axis) is determined to draw the vertical line on the body. t he latest edition of International Anatomical Terminology  is utilized to describe the relevant anatomical parts of acupuncture point locations. t he description for acupuncture point locations does not include methods for locating the acupuncture points. n otes will be added, when required, to explain the specific body postures that are required to locate certain acupuncture points, as well as the techniques for locating body surface landmarks, proportional bone (skeletal) measurements, and the relationship with adjacent acupuncture points. t he focus of explanations for location of acupuncture points is on general body positions. Only those special body positions required for certain acupuncture points have specific notes under relevant items to explain their locations. location of acupuncture points. • a special body position required for acupuncture point location. • The proportional bone (skeletal) measurement. • Explanations of the method of locating certain anatomical landmarks. • The relationship with adjacent acupuncture points or landmark acupuncture points. • Explanations of the dif ferences in surface landmarks between different genders and individuals. V . Controversial acupuncture point locations t hrough several meetings with Member States organized by the WHO r egional Office for the Western Pacific to review the 92 controversial acupuncture point locations, 86 were standardized. However, the experts could only make a tentative decision on the six remaining points. It was agreed that further scientific research, such as multi-centred clinical trials, should be conducted on the six remaining controversial acupuncture point locations. t he six controversial acupuncture points are LI19, LI20, PC8, PC9, g B30 and g V26. Their alternative acupuncture point locations are described under “Remarks” in this document. WHO Standard aCUPUnCtUrE POInt LOCat IOnS 15 general guidelines for acupuncture Point Locations 16 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 17 general guidelines for acupuncture Point Locations 18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 19 general guidelines for acupuncture Point Locations 20 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 21 WHO Standard aCUPUnCtUrE POInt LOCat IOnS WHO Standard aCUPUnCtUrE POInt LOCat IOnS 25 LUng MErIdIan 手太陰(阴)肺經(经,経) Lung Meridian 26",,,,,
LU,LU1,Zhongfu,中府,"On the anterior thoracic region, at the same level as the first intercostal space, lateral to the infraclavicular fossa, 6 B-cun lateral to the anterior median line. 1 B-cun inferior to LU2. located on the transverse line along the first intercostal space.",,,Metal,,
LU,LU2,Yunmen,雲(云)門(门),"On the anterior thoracic region, in the de- pression of the infraclavicular fossa, medial to the coracoid process of the scapula, 6 B-cun lateral to the anterior median line. triangle when the arm is flexed and slightly abducted against resistance, LU2 is in the centre of the deltopectoral triangle. located on the transverse line along the inferior border of the clavicle. LU1 LU2infraclavicular fossa infraclavicularfossacoracoid process of the scapula WHO Standard aCUPUnCtUrE POInt LOCat IOnS 27",,,Metal,,
LU,LU3,Tianfu,天府,"On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 3 B-cun inferior to the anterior axillary fold. same level as the junction of the upper one third and lower two thirds of the line con-necting the level with anterior axillary fold to LU5.",,,Metal,,
LU,LU4,Xiabai,俠(侠)白,"On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 4 B-cun inferior to the anterior axillary fold. LU3 LU4anterior axillary fold biceps brachii muscle biceps brachii muscleanterior axillaryfossa Lung Meridian 28",,,Metal,,
LU,LU5,Chize,"尺澤(泽,沢)","On the anterior aspect of the elbow, at the cubital crease, in the depression lateral to the biceps brachii tendon. cated at the cubital crease, between LI11 and PC3, separated from PC3 by the biceps brachii tendon.",,,Metal,,
LU,LU6,Kongzui,孔最,"On the anterolateral aspect of the forearm, on the line connecting LU5 with LU9, 7 B-cun superior to the palmar wrist crease. B-cun superior to the midpoint of the line connecting LU5 with LU9.LU5 LU6cubital crease biceps brachii tendon palmar wrist crease WHO Standard aCUPUnCtUrE POInt LOCat IOnS 29",,Xi-Cleft,Metal,,
LU,LU7,Lieque,列缺,"On the radial aspect of the forearm, be- tween the tendons of the abductor pollicis longus and the extensor pollicis brevis muscles, in the groove for the abductor pol-licis longus tendon, 1.5 B-cun superior to the palmar wrist crease.",,Luo,Metal,,
LU,LU8,Jingqu,"經(经,経)渠","On the anterolateral aspect of the forearm, between the radial styloid process and the radial artery, 1 B-cun superior to the pal-mar wrist crease. LU8palmar wrist crease tendon of the abductor pollicis longus muscle tendon of the extensor pollicis brevis muscle radial artery palmar wristcrease radial artery radial styloidprocess Lung Meridian 30",,,Metal,,
LU,LU9,Taiyuan,太淵(渊),"On the anterolateral aspect of the wrist, between the radial styloid process and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon. crease, over the radial artery.",,,Metal,,
LU,LU10,Yuji,魚(鱼)際(际),"On the palm, radial to the midpoint of the first metacarpal bone, at the border between the red and white flesh.LU9 LU10radial artery radial styloid process abductor pollicis longus tendonpalmar wristcrease scaphoidbone border betweenred andwhiteﬂesh ﬁrstmetacarpalbone WHO Standard aCUPUnCtUrE POInt LOCat IOnS 31",,,Metal,,
LU,LU11,Shaoshang,少商,"On the thumb, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the thumb nail, at the intersection of the vertical line of the radial border and the horizontal line of the base of the thumb nail. LU11 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 33 LargE IntEStInE MErIdIan 手陽(阳)明大腸(肠)經(经,経) Large Intestine Meridian 34",,,Metal,,
LI,LI1,Shangyang,商陽(阳),"On the index finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the index fingernail, at the intersection of the vertical line of the radial border of the fingernail and the horizontal line of the base of the index fingernail.",,,Metal,,
LI,LI2,Erjian,二間(间),"On the index finger, in the depression distal to the radial side of the second metacarpo-phalangeal joint, at the border between the red and white flesh.LI1 LI2border between red and white ﬂesh metacarpo-phalangealjoint WHO Standard aCUPUnCtUrE POInt LOCat IOnS 35",,,Metal,,
LI,LI3,Sanjian,三間(间),"On the dorsum of the hand, in the depres- sion radial and proximal to the second metacarpophalangeal joint.",,,Metal,,
LI,LI4,Hegu,合谷,"On the dorsum of the hand, radial to the midpoint of the second metacarpal bone.LI3 LI4second metacarpal bone Large Intestine Meridian 36",,,Metal,,
LI,LI5,Yangxi,陽(阳)谿(溪),"On the posterolateral aspect of the wrist, at the radial side of the dorsal wrist crease, distal to the radial styloid process, in the depression of the anatomical snuffbox. snuffbox is formed when the thumb is fully abducted and extended between the ten-dons of the extensor pollicis longus and the extensor pollicis brevis.",,,Metal,,
LI,LI6,Pianli,偏歷(历),"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B-cun superior to the dorsal wrist crease. the upper three fourths and the lower one fourth of the line connecting LI5 with LI11. LI6LI5anatomical snuﬀbox extensor pollicis brevis tendonextensor pollicis longus tendonradial styloid processdorsal wrist crease dorsal wrist crease WHO Standard aCUPUnCtUrE POInt LOCat IOnS 37",,Luo,Metal,,
LI,LI7,Wenliu,溫(温)溜,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 5 B-cun superior to the dorsal wrist crease.",,Xi-Cleft,Metal,,
LI,LI8,Xialian,下廉,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 4 B-cun inferior to the cubital crease. upper one third and lower two thirds of the line connecting LI5 with LI11, 1 B-cun inferior to LI9.LI7 LI8dorsal wrist crease cubital crease Large Intestine Meridian 38",,,Metal,,
LI,LI9,Shanglian,上廉,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B-cun inferior to the cubital crease.",,,Metal,,
LI,LI10,Shousanli,手三里,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 2 B-cun inferior to the cubital crease.LI9 LI10cubital crease cubital crease WHO Standard aCUPUnCtUrE POInt LOCat IOnS 39",,,Metal,,
LI,LI11,Quchi,曲池,"On the lateral aspect of the elbow, at the midpoint of the line connecting LU5 with the lateral epicondyle of the humerus. is located in the depression on the lateral end of the cubital crease.",,,Metal,,
LI,LI12,Zhouliao,肘髎(髎),"On the posterolateral aspect of the elbow, superior to the lateral epicondyle of the humerus, anterior to the lateral supraepi-condylar ridge.LI11 LI12cubital crease cubital creaselateral epicondyle of the humerus lateral epicondyleof the humerus lateral epicondyleof the humeruslateral suprae-picondylarridge Large Intestine Meridian 40",,,Metal,,
LI,LI13,Shouwuli,手五里,"On the lateral aspect of the arm, on the line connecting LI11 with LI15, 3 B-cun supe-rior to the cubital crease.",,,Metal,,
LI,LI14,Binao,臂臑,"On the lateral aspect of the arm, just ante- rior to the border of the deltoid muscle, 7 B-cun superior to LI11. LI13 LI14cubital crease deltoid muscle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 41",,,Metal,,
LI,LI15,Jianyu,肩髃(髃),"On the shoulder girdle, in the depression between the anterior end of lateral border of the acromion and the greater tubercle of the humerus. pressions appear, anterior and posterior to the acromion. LI15 is located in the deeper depression anterior to the acromion. tE14 is located in the posterior depression.",,,Metal,,
LI,LI16,Jugu,巨骨(骨),"On the shoulder girdle, in the depression between the acromial end of the clavicle and the spine of the scapula. bones lateral to the suprascapular fossa.LI15 LI16greater tubercle ofhumerus acromionhumerus clavicle acromion spine of the scapulasuprascapularfossa Large Intestine Meridian 42",,,Metal,,
LI,LI17,Tianding,天鼎,"On the anterior aspect of the neck, at the same level as the cricoid cartilage, just posterior to the border of the sternocleido-mastoid muscle. level as St10.",,,Metal,,
LI,LI18,Futu,扶突,"On the anterior aspect of the neck, at the same level as the superior border of the thyroid cartilage, between the anterior and posterior borders of the sternocleidomas-toid muscle. LI17 LI18thyroid cartilage sternocleidomastoid musclecricoid cartilage sternocleidomastoidmuscle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 43",,,Metal,,
LI,LI19,Kouheliao,口禾髎(髎),"On the face, at the same level as the mid- point of the philtrum, inferior to the lateral margin of the nostril. On the face, at the same level as the junc-tion of the upper one third and lower two thirds of the philtrum, inferior to the lateral margin of the nostril.",,,Metal,,
LI,LI20,Yingxiang,迎(迎)香,"On the face, in the nasolabial sulcus, at the same level as the midpoint of lateral border of the ala of the nose. Remarks: Alternative location for LI20 - On the face, in the nasolabial sulcus, at the level of the inferior border of the ala of the nose. LI19 LI20philtrumnostril ala of the nose nasolabial sulcus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 45 StOMaCH MErIdIan 足陽(阳)明胃經(经,経) Stomach Meridian 46",,,Metal,,
ST,ST1,Chengqi,承泣,"On the face, between the eyeball and the infraorbital margin, directly inferior to the pupil.",,,Earth,,
ST,ST2,Sibai,四白,"On the face, in the infraorbital foramen.ST1 ST2eyeball pupil infraorbital margin infraorbital foramen WHO Standard aCUPUnCtUrE POInt LOCat IOnS 47",,,Earth,,
ST,ST3,Juliao,巨髎(髎),"On the face, directly inferior to the pupil, at the same level as the inferior border of the ala of the nose. is located at the intersection of the vertical line of the pupil and the horizontal line of the inferior border of the ala of the nose.",,,Earth,,
ST,ST4,Dicang,地倉(仓),"On the face, 0.4 f-cun lateral to the angle of the mouth. the point is located in the nasolabial sulcus or on the continuation of the nasolabial sulcus. ST3 ST4pupil ala of the nose nasolabialsulcus angle of themouth Stomach Meridian 48",,,Earth,,
ST,ST5,Daying,大迎(迎),"On the face, anterior to the angle of the mandible, in the depression anterior to the masseter attachment, over the facial artery.",,,Earth,,
ST,ST6,Jiache,頰(颊)車(车),"On the face, one fingerbreadth (middle finger) anterosuperior to the angle of the mandible. mandible. When the mouth is closed and the teeth are clenched, this point is located at the prominence of the masseter and in the depression felt when the clenched teeth are released. ST5 ST6angle of the mandiblefacialartery angle of themandiblemasseter one ﬁngerbreadth(middle ﬁnger)masseter WHO Standard aCUPUnCtUrE POInt LOCat IOnS 49",,,Earth,,
ST,ST7,Xiaguan,"下關(关,関)","On the face, in the depression between the midpoint of the inferior border of the zygo-matic arch and the mandibular notch. located at the depression inferior to the zygomatic arch, directly inferior to gB3.",,,Earth,,
ST,ST8,Touwei,頭(头)維(维),"On the head, 0.5 B-cun directly superior to the anterior hairline at the corner of the forehead, 4.5 B-cun lateral to the anterior median line. ST7 ST8zygomatic arch mandibular notch anterior hairline Stomach Meridian 50",,,Earth,,
ST,ST9,Renying,人迎(迎),"In the anterior region of the neck, at the same level as the superior border of the thyroid cartilage, anterior to the sterno-cleidomastoid muscle, over the common carotid artery. more distinct when the head is turned to the opposite side against resistance. LI18, SI16 and the superior border of the thyroid cartilage. St9 is located anterior to the sternocleidomastoid muscle, and SI16, posterior to the sternocleidomastoid muscle and LI18, between the anterior and pos-terior borders of the sternocleidomastoid muscle.",,,Earth,,
ST,ST10,Shuitu,水突,"In the anterior region of the neck, at the same level as the cricoid cartilage, just anterior to the border of the sternocleido-mastoid muscle. ST9 ST10thyroid cartilagecarotid arterysternocleido- mastoidmuscle thyroid cartilage sternocleidomastoidmuscle sternocleido-mastoidmuscle cricoid cartilage WHO Standard aCUPUnCtUrE POInt LOCat IOnS 51",,,Earth,,
ST,ST11,Qishe,"氣(气,気)舍(舎)","In the anterior region of the neck, in the lesser supraclavicular fossa, superior to the sternal end of the clavicle, in the depres-sion between the sternal and clavicular heads of the sternocleidomastoid muscle. more distinct when the head is turned to the opposite side against resistance. clavicle, inferior to St9.",,,Earth,,
ST,ST12,Quepen,缺盆,"In the anterior region of the neck, in the greater supraclavicular fossa, 4 B-cun lateral to the anterior median line, in the depression superior to the clavicle.ST11 ST12clavicular heads of thesternocleido-mastoidmuscle lesser supraclavicular fossasternal heads of thesternocleido-mastoidmuscle clavicle greatersupraclavicular fossa Stomach Meridian 52",,,Earth,,
ST,ST13,Qihu,"氣(气,気)戶","In the anterior thoracic region, inferior to the clavicle, 4 B-cun lateral to the anterior median line.",,,Earth,,
ST,ST14,Kufang,庫(库)房,"In the anterior thoracic region, in the first intercostal space, 4 B-cun lateral to the anterior median line. ST13 ST14clavicle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 53",,,Earth,,
ST,ST15,Wuyi,屋翳,"In the anterior thoracic region, in the sec- ond intercostal space, 4 B-cun lateral to the anterior median line. ferior to the second rib which is located at the same level as the sternal angle.",,,Earth,,
ST,ST16,Yingchuang,膺窗(窓),"In the anterior thoracic region, in the third intercostal space, 4 B-cun lateral to the anterior median line. ST15 ST16sternal angle Stomach Meridian 54",,,Earth,,
ST,ST17,Ruzhong     (,乳)中,"In the anterior thoracic region, at the centre of the nipple. located in the fourth intercostal space.",,,Earth,,
ST,ST18,Rugen    (,乳)根,"In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line. intersection of nipple line and the fifth in - tercostal space. In females, St18 is located at the midpoint of the inferior crease of the breast.  ST17 ST18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 55",,,Earth,,
ST,ST19,Burong,不容,"On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. and the rib is located inferior to St19, St19 can be reached by oblique needling.",,,Earth,,
ST,ST20,Chengman,"承滿(满,満)","On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. B-cun inferior to St19, 2 B-cun lateral to CV13.ST19 ST20 Stomach Meridian 56",,,Earth,,
ST,ST21,Liangmen,梁門(门),"On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. B-cun inferior to St20, 2 B-cun lateral to CV12.",,,Earth,,
ST,ST22,Guanmen,"關(关,関)門(门)","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. lateral to KI18 and CV11.ST21 ST22 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 57",,,Earth,,
ST,ST23,Taiyi,太乙,"On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. lateral to KI17 and CV10.",,,Earth,,
ST,ST24,Huaroumen,滑(滑)肉門(门),"On the upper abdomen, 1 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. to CV9.ST23 ST24 Stomach Meridian 58",,,Earth,,
ST,ST25,Tianshu,天樞(枢),"On the upper abdomen, 2 B-cun lateral to the centre of the umbilicus.",,,Earth,,
ST,ST26,Wailing,外陵,"On the lower abdomen, 1 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. to KI15 and CV7.ST25 ST26 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 59",,,Earth,,
ST,ST27,Daju,大巨,"On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. to KI14 and CV5.",,,Earth,,
ST,ST28,Shuidao,水道(道),"On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. B-cun inferior to St27, 2 B-cun lateral to CV4.ST27 ST28 Stomach Meridian 60",,,Earth,,
ST,ST29,Guilai,"歸(归,帰)來(来)","On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. B-cun inferior to St28, 2 B-cun lateral to CV3.",,,Earth,,
ST,ST30,Qichong,"氣(气,気)衝(冲)","In the groin region, at the same level as the superior border of the pubic symphysis, 2 B-cun lateral to the anterior median line, over the femoral artery. B-cun lateral to CV2.ST29 ST30femoral artery pubicsymphysis WHO Standard aCUPUnCtUrE POInt LOCat IOnS 61",,,Earth,,
ST,ST31,Biguan,"髀(髀)關(关,関)","On the anterior aspect of the thigh, in the depression among three muscles: the proxi - mal portion of the rectus femoris muscle, the sartorius muscle and the tensor fasciae latae muscle. flexion, and the thigh slightly abducted when resistance is placed against the an-teromedial aspect of the thigh, a triangular depression appears. the proximal portion of the rectus femoris muscle is found in the depression between the sartorius muscle medially and the tensor fascia latae muscle laterally. St31 is located at the deepest point in the depression inferior to the apex of this triangle. of the line connecting the lateral end of the base of the patella with the anterior superi-or iliac spine, and the horizontal line of the inferior border of the pubic symphysis. ST31pubic symphysis rectus femorismuscle sartorius muscle lateral end of thebase of the patellatensor fasciaelatae muscleanterior superioriliac spine Stomach Meridian 62",,,Earth,,
ST,ST32,Futu,伏兎(兔),"On the anterolateral aspect of the thigh, on the line connecting the lateral end of the base of the patella with the anterior superi-or iliac spine, 6 B-cun superior to the base of the patella.",,,Earth,,
ST,ST33,Yinshi,陰(阴)市,"On the anterolateral aspect of the thigh, lat- eral to the rectus femoris tendon, 3 B-cun superior to the base of the patella. connecting St32 with the lateral end of the base of the patella.ST32 ST33anterior superior iliac spine patella rectus femoristendon base of thepatella WHO Standard aCUPUnCtUrE POInt LOCat IOnS 63",,,Earth,,
ST,ST34,Liangqiu,梁丘,"On the anterolateral aspect of the thigh, between the vastus lateralis muscle and the lateral border of the rectus femoris tendon, 2 B-cun superior to the base of the patella. sion, the rectus femoris tendon and the vastus lateralis muscle are more distinct. St34 is located between the muscle and the tendon, 1 B-cun directly inferior to St33.",,Xi-Cleft,Earth,,
ST,ST35,Dubi,犢(犊)鼻,"On the anterior aspect of the knee, in the depression lateral to the patellar ligament. cated in the depression lateral and inferior to the patella. ST34 ST35vastus lateralis muscle rectus femoris tendon base of the patella patella patella patellar ligament Stomach Meridian 64",,,Earth,,
ST,ST36,Zusanli,足三里,"On the anterior aspect of the leg, on the line connecting ST35 with ST41, 3 B-cun inferior to ST35. rior muscle.",,,Earth,,
